t,e_hat,Accuracy,pe,batch,Condition
167,0,0.5151708979045005,0.5350387485073881,0,Interleaved
168,0,0.8307969910893034,0.46164259574496236,0,Interleaved
169,0,0.42425862501152434,0.6898903720146402,0,Interleaved
170,0,0.47201753623827186,0.5309499432607913,0,Interleaved
171,0,0.6681459796166329,0.41074224952883376,0,Interleaved
172,0,0.11612437411383987,0.5794982513946914,0,Interleaved
173,0,0.9270061952564426,0.3745343393186217,0,Interleaved
174,0,0.4673583794465023,0.607750908355084,0,Interleaved
175,0,0.4526113111281837,0.5267455890386954,0,Interleaved
176,0,0.599807238277883,0.4353212667558819,0,Interleaved
177,0,0.5187878494997431,0.29157687252410003,0,Interleaved
178,0,0.5484897905133383,0.4862355571489281,0,Interleaved
179,0,0.272606395842027,0.5319783158563353,0,Interleaved
180,0,0.8453302132621855,0.5024751506841981,0,Interleaved
181,0,0.4978007716052407,0.5772808329445518,0,Interleaved
182,0,0.8197884177117136,0.4492283435367269,0,Interleaved
183,0,0.4773024570060871,0.5251175412393095,0,Interleaved
184,0,0.5140640400220177,0.5502701443174614,0,Interleaved
185,0,0.15514761949974865,0.6049356576597475,0,Interleaved
186,0,0.557136465019321,0.6212130878281152,0,Interleaved
187,0,0.49412856851824777,0.48326649323093873,0,Interleaved
188,0,0.8002234315565477,0.4738783318052835,0,Interleaved
189,0,0.3034545340397939,0.674008817582009,0,Interleaved
190,0,0.13073111683308683,0.36555310315498,0,Interleaved
191,0,0.5088508193343052,0.4093989768878919,0,Interleaved
192,0,0.5948881145528374,0.5144996661157741,0,Interleaved
193,0,0.43422363823492216,0.47965991206631653,0,Interleaved
194,0,0.42144604350603754,0.5747076545129111,0,Interleaved
195,0,0.32176600068873806,0.593111191830215,0,Interleaved
196,0,0.9629010213502074,0.4896561994931713,0,Interleaved
197,0,0.0018828224478291376,0.7433929854552068,0,Interleaved
198,0,0.12263057183204354,0.6246848466802081,0,Interleaved
199,0,0.9218817674244928,0.40679823178549923,0,Interleaved
